t,x,y,z,dx,dy,dz
15.0,0.8369002943908099,-1.3492765935256886e-11,0.0,8.598180400234568e-11,3.9562048002700644e-11,0.0
14.8833465887656,0.8369002943788512,-1.8995304943439073e-11,0.0,1.2104421155748986e-10,5.5695776568423534e-11,0.0
14.75800735260331,0.8369002943605165,-2.743159342865248e-11,0.0,1.7480171384316495e-10,8.04311209262479e-11,0.0
14.573149557372453,0.8369002943176238,-4.716764508758674e-11,0.0,3.005659971738208e-10,1.382977587670948e-10,0.0
14.37685224746826,0.8369002942378586,-8.386944158483641e-11,0.0,5.344446985203682e-10,2.459095129394588e-10,0.0
14.174858779450833,0.8369002940905672,-1.516412921557233e-10,0.0,9.663168216631655e-10,4.4462201903453093e-10,0.0
13.970722564889568,0.8369002938204975,-2.759058411033001e-10,0.0,1.7581867765175612e-9,8.089771307625355e-10,0.0
13.763059758228602,0.8369002933177729,-5.072195629039275e-10,0.0,3.232222186952925e-9,1.4872112995487557e-9,0.0
13.560149112088746,0.8369002924216142,-9.195606220270094e-10,0.0,5.859843524994526e-9,2.6962352700200165e-9,0.0
13.362760703222792,0.8369002908551206,-1.6403369749552808e-9,0.0,1.0452948852294518e-8,4.809620684820561e-9,0.0
13.173430160915542,0.8369002882092547,-2.8577555708290196e-9,0.0,1.8210874349890566e-8,8.379207401010534e-9,0.0
12.992604460583266,0.8369002838661836,-4.856094338866646e-9,0.0,3.0945162702292376e-8,1.423852450512649e-8,0.0
12.82080664583158,0.8369002769546361,-8.036243869871938e-9,0.0,5.121046276909397e-8,2.3563020428229643e-8,0.0
12.658473564114058,0.8369002663079502,-1.2935010086790728e-8,0.0,8.242753460964587e-8,3.792666013611378e-8,0.0
12.504929097940707,0.8369002503223424,-2.029032822089605e-8,0.0,1.2929881860095828e-7,5.949313862576172e-8,0.0
12.360233666608897,0.8369002270184412,-3.101294974893562e-8,0.0,1.9762801049280839e-7,9.09328642699768e-8,0.0
12.223571241478746,0.8369001937975208,-4.6298605299341205e-8,0.0,2.950348062902894e-7,1.3575183096177124e-7,0.0
12.0944490400591,0.83690014748735,-6.760690877883163e-8,0.0,4.3082046147484426e-7,1.9822976301993665e-7,0.0
11.972280520908145,0.8369000841938361,-9.672962080115974e-8,0.0,6.164027808149904e-7,2.83620269909966e-7,0.0
11.856523657473058,0.8368999992375,-1.3581987939459492e-7,0.0,8.655023659371974e-7,3.982365534596484e-7,0.0
11.74667276346083,0.8368998870643173,-1.874332267930251e-7,0.0,1.1944040203955997e-6,5.495717022724683e-7,0.0
11.642193063306856,0.8368997410478938,-2.546186368500357e-7,0.0,1.6225367614421393e-6,7.465655927245025e-7,0.0
