t,x,y,z,dx,dy,dz
0.0,1.166930587676521,0.0,0.0,0.0,0.13667083769193517,0.0
0.006054064321040341,1.1669369431682124,0.0008273801589024769,0.0,0.0020995959343443698,0.1366540474720371,0.0
0.014456005925955591,1.1669668260471515,0.001975253159196242,0.0,0.0050138445790483014,0.13657511429274027,0.0
0.02387594124516515,1.1670294494667974,0.003261066868281748,0.0,0.008282355515656613,0.13640976768094756,0.0
0.03463869911952319,1.167138697361994,0.004727756012232086,0.0,0.012019268699156867,0.1361215367750591,0.0
0.04633581541432606,1.1673030610283144,0.006317573872209771,0.0,0.016084866017841013,0.13568841650964525,0.0
0.05904231042303005,1.1675355360321096,0.008037968046366549,0.0,0.02050795443370836,0.13507687961551912,0.0
0.07253161971547795,1.1678438962647335,0.009854788548256489,0.0,0.025213044060214847,0.13426762878510443,0.0
0.08675310157023813,1.1682378097157966,0.011757159659798535,0.0,0.03018628451628333,0.13323697102929283,0.0
0.10158376511568692,1.1687240490570598,0.01372399566237381,0.0,0.035388840073441306,0.1319694806331939,0.0
0.11696038380583276,1.1693098069285472,0.01574182037660898,0.0,0.04080286091237327,0.13044936662131806,0.0
0.13282890998642727,1.170001773029352,0.01779797643667209,0.0,0.04641372260339473,0.12866294453942995,0.0
0.14912325370485627,1.1708051762638554,0.01987796757954011,0.0,0.05220233993057617,0.12660110262913984,0.0
0.1658322035537991,1.1717272250125315,0.021974031637113204,0.0,0.05816881275716656,0.12425045855534116,0.0
0.18290677274966213,1.1727727218795088,0.024073314230428963,0.0,0.06429940959154312,0.12160458941225627,0.0
0.20032607385925358,1.1739475070270742,0.026166256590843928,0.0,0.07058989036842199,0.11865516364864252,0.0
0.2180556218887789,1.1752560711963285,0.02824146158059798,0.0,0.07703046046376177,0.11539790885300788,0.0
0.23607581922414378,1.1767034519086554,0.03028917658548046,0.0,0.08361594174502547,0.11182773535283579,0.0
0.2543316328429685,1.178291129396036,0.03229567325700853,0.0,0.09032727932352087,0.10794868867390743,0.0
0.27279762774276534,1.1800220952599119,0.03425079490484055,0.0,0.09715520797177556,0.10376122082765937,0.0
0.29142627009047495,1.181896419083691,0.03614232728818444,0.0,0.1040812602673133,0.09927282700521112,0.0
0.31019205252404647,1.183915332305674,0.03796077351505474,0.0,0.1110940895256365,0.09448795782550909,0.0
0.32906474918124107,1.1860787905212475,0.039696544015435736,0.0,0.11817965417951937,0.08941376340429387,0.0
0.3480337923372049,1.1883883247979201,0.041342205216163504,0.0,0.12533044983222918,0.0840532847117919,0.0
0.36708738872450597,1.190844948290458,0.04289037187893019,0.0,0.1325378067596798,0.07841037531295438,0.0
0.3862200149701345,1.1934501400135333,0.04433431401152106,0.0,0.1397947914639515,0.07248737423101417,0.0
0.4054419742156132,1.196207461160003,0.04566842576980257,0.0,0.14709993177796768,0.06628151170483894,0.0
0.4247515211708477,1.199118817096453,0.04688605738115537,0.0,0.15444668731257857,0.05979340642199469,0.0
0.4441582142184846,1.2021877843878543,0.04798112839953011,0.0,0.1618323447943012,0.05301955473500581,0.0
0.4636703528820126,1.2054178921593366,0.048947152539754034,0.0,0.1692532623374504,0.04595623033611907,0.0
0.48329795266176545,1.208813092968731,0.049777367397580256,0.0,0.17670600238475845,0.03859844473430168,0.0
0.5030490397071605,1.2123771356556812,0.050464525953404775,0.0,0.18418591978002816,0.030941312242991605,0.0
0.5229357659847512,1.2161146537754874,0.05100108248026114,0.0,0.19168946735076317,0.022977705641593935,0.0
0.5429661888861349,1.2200296726547584,0.05137887268451565,0.0,0.19921106656387186,0.01470145916184177,0.0
0.5631514239243604,1.2241269229612513,0.05158929141645284,0.0,0.20674578668156637,0.006104555184257518,0.0
0.5834988632118571,1.228410489947553,0.05162314566281252,0.0,0.21428677805534938,-0.0028200345701941023,0.0
0.604017447550787,1.2328848283469402,0.051470722742623896,0.0,0.22182722532294052,-0.01208050657996475,0.0
0.6247292125503473,1.237557453069681,0.05112143668875924,0.0,0.22936447208511712,-0.021691735967438414,0.0
0.6456433023887569,1.2424332582180102,0.050563963525058576,0.0,0.23689040841610257,-0.031663536156609995,0.0
0.6667717387760999,1.2475178647306382,0.04978616139958798,0.0,0.2443972386272444,-0.042007638233389565,0.0
0.6881246064768205,1.2528164919934504,0.048775131510193255,0.0,0.2518756838259259,-0.05273540454308878,0.0
0.7097106794003847,1.2583340210146754,0.04751723486172827,0.0,0.25931518538488685,-0.06385800873277293,0.0
0.7315408757499503,1.2640758377528225,0.0459978625823199,0.0,0.26670504376641246,-0.07538817379525557,0.0
0.753620291237548,1.2700456961078637,0.044201963106840624,0.0,0.27403166975134685,-0.0873359212206014,0.0
0.7759582209688307,1.2762482883035058,0.042113352621072554,0.0,0.28128194395638095,-0.09971378150204137,0.0
0.798559855650189,1.2826869634396922,0.03971535417011365,0.0,0.2884404054591615,-0.11253227006219652,0.0
0.8214303185705945,1.2893647316105983,0.036990517097549025,0.0,0.2954905856352144,-0.12580195117357335,0.0
0.8445748267734805,1.2962842667793466,0.03392057247156441,0.0,0.3024150085930843,-0.13953348888847616,0.0
0.8679967696897669,1.3034472690054046,0.030486695785958945,0.0,0.3091945884450728,-0.15373643032813727,0.0
0.8916973402966719,1.3108542368647125,0.026669677340155098,0.0,0.315808572620314,-0.1684188057442629,0.0
0.9156795395194604,1.3185056361035807,0.02244933745895182,0.0,0.322235674974694,-0.18358949061858076,0.0
0.939942213685993,1.3263999476457515,0.01780556889879075,0.0,0.32845244789937056,-0.1992543781148232,0.0
