t,x,y,z,dx,dy,dz
145.0,-1.005063901721359,9.776437623343332e-11,0.0,-2.0697392685066964e-12,-1.7392014265086022e-11,0.0
144.7977562750004,-1.0050639017209326,1.0134584651786145e-10,0.0,-2.145800839425438e-12,-1.8029190305482158e-11,0.0
144.57988106310518,-1.005063901720456,1.053510946808147e-10,0.0,-2.2308851606761896e-12,-1.8741876306159337e-11,0.0
144.24572793065605,-1.0050639017196878,1.118037082344933e-10,0.0,-2.3678016892723623e-12,-1.9890231009919065e-11,0.0
143.910772077578,-1.0050639017188705,1.1866865173536834e-10,0.0,-2.513260979306985e-12,-2.1112052448419974e-11,0.0
143.4979969576398,-1.005063901717794,1.2771128446283863e-10,0.0,-2.7048577761693444e-12,-2.2721506148135417e-11,0.0
143.03272154906304,-1.005063901716482,1.3873308847446012e-10,0.0,-2.9381111959536346e-12,-2.4683077836545943e-11,0.0
142.48247405307336,-1.0050639017147835,1.5300208618218846e-10,0.0,-3.2398985578726975e-12,-2.7222196231833447e-11,0.0
141.7784367643873,-1.0050639017123537,1.7341956865733406e-10,0.0,-3.671678401691188e-12,-3.085462559806171e-11,0.0
141.01839032013729,-1.0050639017093659,1.9852968538959737e-10,0.0,-4.202528716165086e-12,-3.532105078464014e-11,0.0
140.14488076846976,-1.0050639017053946,2.3190856164631012e-10,0.0,-4.908492082478284e-12,-4.1257218657321974e-11,0.0
139.22304773209896,-1.0050639017004774,2.7323587467999857e-10,0.0,-5.78371179148571e-12,-4.86070839993153e-11,0.0
138.21126458392027,-1.005063901694065,3.2711932092776244e-10,0.0,-6.925649762940614e-12,-5.819257684081387e-11,0.0
137.06615582981468,-1.005063901685268,4.0103015645666705e-10,0.0,-8.491751511455973e-12,-7.134371666209537e-11,0.0
135.88822414660942,-1.0050639016741407,4.945237817281067e-10,0.0,-1.0470378569810975e-11,-8.797844676730406e-11,0.0
134.61158975342326,-1.0050639016591358,6.206167212965577e-10,0.0,-1.3137683372180877e-11,-1.1040854467179529e-10,0.0
133.1397064711043,-1.0050639016370313,8.063824925687437e-10,0.0,-1.706992943071688e-11,-1.4345084586508321e-10,0.0
